dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10182981,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10182981,,5330410030,"Tambesra,Udaipur and Banswara",23.49934,74.2505,AS,India,Rajasthan,,B,,,"Barium-Barite, Iron, Manganese, Phosphorus-Phosphates, Silica",Unknown,,,Producer,,,"Calcite, Psilomelane, Pyrolusite, Siderite, Wad",,,,,,,,"West, B.J.",,,,,,,ROY B C 1957 THE MN-ORE DEPOSITS IN UDAIPUR AND BANSWARA RAJBULL OF GSI SERIES A-ECON GEOL NO14,,,,,,,,,C
10183083,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183083,,5330410016,Harner,27.35902,76.28046,AS,India,Rajasthan,,M,,,Copper,Unknown,,,Prospect,,,,,,,,,,,"West, B.J.",,,,,,,"DUNN J A 1965,BULL GSI SERIES A-EEON GEOL NO 23-COPPER P 134",,,,,,,,,D
10183096,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183096,,5330410047,Jhamarkotra,24.46596,73.83382,AS,India,Rajasthan,,N,Phosphorus-Phosphates,,,Surface,,,Producer,,,Apatite,,Surface,,,,,,"Buckingham, David A.",,,,,,,"BRITISH SULPHUR CORP., WORLD SURVEY OF PHOSPHATE DEPOSITS,4TH EDITION; LONDON 1981.THE FERTILIZER ASSOCIATION OF INDIA, FERTILIZER STATISTICS1979-1980; NEW DELHI.LEHR, J. R., CHARACTERIZATION OF PHOSPHATE ROCKS FROMUDAIPUR, INDIA; TENNESSEE VALLEY AUTHORITY, JULY 22, 1969.PHOSPHORUS AND POTASSIUM, 44, NOV/DEC. 1969, THE DEPOSITSNEAR UDAIPUR - SOURCE OF INDIA'S FUTURE PHOSPHATE SUPPLIES.RAHASTHAN STATE MINES AND MINERALS LTD., - A GLIMPSE ONJHAMARKOTRA ROCK PHOSPHATE MINING PROJECT; UDAIPUR C.1979.RAHASTHAN STATE MINES AND MINERALS, LTD, - A BRIEF INTRO-DUCTION; UDAIPUR, 1981.""PHOSPHATES IN INDIA: FUTURE PROSPECTS"", PHOSPHOROUS ANDPOTASSIUM, NO. 125, MAY/JUNE 1983, PP. 24-28.CHOUDHURI, DR. R. AND PRASAD, H.,"" A PROJECT PROFILE ON THEJHAMARKOTRA ROCK PHOSPHATE DEPOSIT"", INDUSTRIAL MINERALSSEPTEMBER 1983, PP. 61-67.INDUSTRIAL MINERALS, NOVEMBER 1988, P. 96.RAHASTHAN STATE MINES AND MINERALS, LTD. -- A BRIEF INTRO-4TH EDITION; LONDON, 1981.BRITISH SULPHUR CORPORATION, WORLD SURVEY OF PHOSPHATEDEPOSIT, FIFTH ED., 1987, 274PP, PP 194-195.",,1969,,,,1968,,,B
10183350,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183350,,5330410012,Bhagoni,27.27903,76.40046,AS,India,Rajasthan,,M,,,Copper,Unknown,,,Prospect,,,,,,,,,,,"West, B.J.",,,,,,,DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 132,,,,,,,,,D
10183428,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183428,,5330411026,Debari,24.51596,73.68382,AS,India,Rajasthan,,B,"Zinc, Refiner","Silver, Cadmium, Sulfur, Sulfuric Acid",,Processing Plant,,,Plant,,,,,,,,,,,"Difrancesco, Carl A.",,,,,,,,,,,,,,,,E
10206634,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10206634,,5330001206,Vanadium Operation,28.61563,77.21714,AS,India,,,M,Vanadium,,,Processing Plant,,,Producer,,,,,,,,,,,Hunter,,,,,,,,,,,,,,,,E
10206719,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10206719,,5330410019,Maluthana Malotana,27.44902,76.26046,AS,India,Rajasthan,,M,,,Copper,Unknown,,,Prospect,,,,,,,,,,,"West, B.J.",,,,,,,DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 135,,,,,,,,,D
10207112,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207112,,5330410011,Baldeogarh,27.12904,76.38046,AS,India,Rajasthan,,M,,,Copper,Unknown,,,Prospect,,,Malachite,,,,,,,,"West, B.J.",,,,,,,DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 132,,,,,,,,,D
10207193,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207193,,5330410015,Gudhah,27.34903,76.26046,AS,India,Rajasthan,,M,,,Copper,Unknown,,,Occurrence,,,,,,,,,,,"West, B.J.",,,,,,,DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 134,,,,,,,,,D
10207281,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207281,,5330390004,Ghatashar,27.90898,76.10047,AS,India,Punjab,,M,,,Copper,Unknown,,,Occurrence,,,,,,,,,,,"West, B.J.",,,,,,,"DUNN J A 1965, BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 12",,,,,,,,,D
10207338,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207338,,5330418814,Khetri Phosphoric Acid Plant,27.99899,75.81718,AS,India,Rajasthan,,N,Phosphorus-Phosphates,,,Processing Plant,,,Plant,,,,,,,,,Rajasthan,,"Fantel, Richard J.",,,,,,,"INTERNATIONAL FERTILIZER INDUSTRY ASSOCIATION. PHOSPHORICACID, TRIPLE SUPERPHOSPHATE AND AMMONIUM PHOSPHATE PLANTS1988 SURVEY. AUGUST 1988, 39PP.BRITISH SULPHUR CORPORATION. WORLD FERTILIZER ATLAS, EIGHTHED. APRIL 1987, 121PP.",,1976,,,,,,,D
