granule,start,end,cloud_cover,size_mb,download_nc
EMIT_L2B_MIN_001_20230531T071434_2315105_006,2023-05-31T07:14:34.000Z,2023-05-31T07:14:45.000Z,0,108.7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230531T071434_2315105_006/EMIT_L2B_MIN_001_20230531T071434_2315105_006.nc
EMIT_L2B_MIN_001_20230603T062613_2315405_011,2023-06-03T06:26:13.000Z,2023-06-03T06:26:24.000Z,0,101.4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230603T062613_2315405_011/EMIT_L2B_MIN_001_20230603T062613_2315405_011.nc
EMIT_L2B_MIN_001_20230607T044630_2315803_004,2023-06-07T04:46:30.000Z,2023-06-07T04:46:42.000Z,0,99.7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230607T044630_2315803_004/EMIT_L2B_MIN_001_20230607T044630_2315803_004.nc
EMIT_L2B_MIN_001_20230607T044642_2315803_005,2023-06-07T04:46:42.000Z,2023-06-07T04:46:53.000Z,0,99.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230607T044642_2315803_005/EMIT_L2B_MIN_001_20230607T044642_2315803_005.nc
EMIT_L2B_MIN_001_20230607T044705_2315803_007,2023-06-07T04:47:05.000Z,2023-06-07T04:47:17.000Z,0,99.8,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230607T044705_2315803_007/EMIT_L2B_MIN_001_20230607T044705_2315803_007.nc
EMIT_L2B_MIN_001_20230607T044729_2315803_009,2023-06-07T04:47:29.000Z,2023-06-07T04:47:41.000Z,0,98.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230607T044729_2315803_009/EMIT_L2B_MIN_001_20230607T044729_2315803_009.nc
EMIT_L2B_MIN_001_20230621T080040_2317205_040,2023-06-21T08:00:40.000Z,2023-06-21T08:00:52.000Z,0,105.8,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230621T080040_2317205_040/EMIT_L2B_MIN_001_20230621T080040_2317205_040.nc
EMIT_L2B_MIN_001_20230621T080052_2317205_041,2023-06-21T08:00:52.000Z,2023-06-21T08:01:04.000Z,0,102.6,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230621T080052_2317205_041/EMIT_L2B_MIN_001_20230621T080052_2317205_041.nc
EMIT_L2B_MIN_001_20230621T080104_2317205_042,2023-06-21T08:01:04.000Z,2023-06-21T08:01:16.000Z,0,101.6,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230621T080104_2317205_042/EMIT_L2B_MIN_001_20230621T080104_2317205_042.nc
EMIT_L2B_MIN_001_20230621T080116_2317205_043,2023-06-21T08:01:16.000Z,2023-06-21T08:01:27.000Z,0,100.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230621T080116_2317205_043/EMIT_L2B_MIN_001_20230621T080116_2317205_043.nc
